Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.9,18358017997,8424,2179251.9,753770.0,15712,32192170,5998926.2,Kernel2
21.9,7591632896,480,15815901.9,15714087.0,14976138,20078403,737658.4,mem_efficient_bwd_unified_kernel_exp13
5.0,1732332631,160,10827078.9,10634207.5,9894264,13174427,568463.3,sparseCENormalize_kernel_optimized
4.9,1694655202,1056,1604787.1,2642587.5,6048,4140353,1401525.4,fused_attn_forward_kernel_tc
4.1,1414719330,6144,230260.3,238751.0,3648,1947889,168853.6,contiguous_strided_copy_kernel_optimized
3.0,1035327757,200,5176638.8,5107529.5,4803162,6375471,397602.5,sparse_ce_forward_kernel_vec
2.3,806890718,160,5043067.0,4808908.5,4799771,6497293,383936.9,sparseCEReduce_kernel_optimized
1.5,527038979,9751,54049.7,2944.0,1248,1838962,135423.2,vectorized_kernel_impl
0.7,247051741,1120,220581.9,210399.0,208222,1173591,68717.4,ln_backward_input_kernel
0.7,231818795,480,482955.8,449533.0,447453,1314582,113336.6,fused_gelu_backward_kernel
0.7,231508597,4224,54807.9,38176.0,1536,1305591,80588.8,broadcast_scale_kernel
0.6,201240106,1056,190568.3,302141.0,1216,1232407,182910.3,fused_gelu_kernel_vectorized
0.5,180472385,2080,86765.6,49696.0,26912,917081,70643.3,unified_reduce_kernel
0.4,143230288,2464,58129.2,96799.0,2272,696635,51527.2,layer_norm_forward_kernel
0.3,96143728,1120,85842.6,80607.5,79455,1003448,48319.4,ln_backward_gamma_beta_kernel
0.2,78716045,20,3935802.3,3795234.5,3781570,4600317,246332.0,multi_tensor_adam_kernel
0.1,28071309,20,1403565.4,1350645.5,1225271,1694932,186235.4,multi_tensor_scale_kernel
0.1,23111027,352,65656.3,111647.0,2304,131135,54107.2,add_kernel_nd_broadcast
0.1,19392689,20,969634.4,970104.5,962905,974329,4212.8,multi_tensor_grad_norm_kernel
0.1,17921655,320,56005.2,48367.0,11168,611803,68389.0,embedding_backward_kernel_optimized
0.0,13673686,704,19422.8,9568.0,1440,73856,23079.4,embedding_forward_kernel_vectorized
0.0,6981578,312,22376.9,23327.0,7168,45920,10827.0,gemmSN_NN_kernel
0.0,3619746,152,23814.1,23808.0,23391,24416,224.2,softmax_forward_kernel
0.0,2584023,304,8500.1,8144.0,2240,15072,5926.0,gather_kernel
0.0,878167,352,2494.8,1312.0,1248,4416,1378.6,scalar_div_copy
0.0,842457,664,1268.8,1408.0,896,1792,276.7,convert_type_kernel
0.0,815448,400,2038.6,2048.0,1536,2496,297.2,sum_reduction_kernel
0.0,374909,2,187454.5,187454.5,9248,365661,252022.0,gen_sequenced
0.0,337948,2,168974.0,168974.0,168158,169790,1154.0,generate_seed_pseudo
0.0,30176,20,1508.8,1504.0,1344,1696,60.8,compute_clip_coef_kernel
