Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.1,17954439065,8424,2131343.7,752060.0,15776,30053652,5844413.5,Kernel2
21.8,7380893575,480,15376861.6,15190779.0,14998811,18181805,449061.4,mem_efficient_bwd_unified_kernel_exp13
4.9,1665901283,160,10411883.0,9985746.5,9899187,12474823,610561.3,sparseCENormalize_kernel_optimized
4.8,1637667080,1056,1550821.1,2640452.0,5984,3872398,1346273.4,fused_attn_forward_kernel_tc
4.1,1400469090,6144,227940.9,239054.5,3712,1519097,162858.4,contiguous_strided_copy_kernel_optimized
2.9,986363502,200,4931817.5,4811738.0,4803050,6157380,256420.9,sparse_ce_forward_kernel_vec
2.3,788543306,160,4928395.7,4809898.0,4800234,5939173,231201.2,sparseCEReduce_kernel_optimized
1.5,519695142,9751,53296.6,2912.0,1216,1412409,131979.7,vectorized_kernel_impl
0.7,237711103,1120,212242.1,210015.0,208511,1074459,34690.5,ln_backward_input_kernel
0.7,222743656,480,464049.3,449470.0,448446,1190426,73460.5,fused_gelu_backward_kernel
0.6,216227872,4224,51190.3,38176.0,1536,816828,63533.4,broadcast_scale_kernel
0.6,194180159,1056,183882.7,302142.0,1216,1073147,168139.7,fused_gelu_kernel_vectorized
0.5,175182965,2080,84222.6,49760.0,26815,422974,62080.7,unified_reduce_kernel
0.4,142134066,2464,57684.3,96767.0,2272,475806,49164.0,layer_norm_forward_kernel
0.3,91610620,1120,81795.2,80639.0,79648,460158,16618.5,ln_backward_gamma_beta_kernel
0.2,78234206,20,3911710.3,3803183.0,3784655,4458380,196654.4,multi_tensor_adam_kernel
0.1,26707179,20,1335358.9,1231290.0,1227834,2195894,248433.5,multi_tensor_scale_kernel
0.1,23102139,352,65631.1,111776.0,2208,132064,54125.2,add_kernel_nd_broadcast
0.1,19391077,20,969553.8,970187.5,965947,979291,3130.9,multi_tensor_grad_norm_kernel
0.0,16507476,320,51585.9,47536.0,11104,897244,60187.0,embedding_backward_kernel_optimized
0.0,13567412,704,19271.9,9632.0,1440,73344,22834.1,embedding_forward_kernel_vectorized
0.0,6998012,312,22429.5,23424.0,7200,45568,10851.5,gemmSN_NN_kernel
0.0,3615693,152,23787.5,23776.0,23392,24384,176.7,softmax_forward_kernel
0.0,2585750,304,8505.8,8976.0,2240,15200,5949.8,gather_kernel
0.0,867770,352,2465.3,1312.0,1248,4351,1350.7,scalar_div_copy
0.0,838206,664,1262.4,1376.0,928,1792,269.7,convert_type_kernel
0.0,813888,400,2034.7,2080.0,1696,2496,293.3,sum_reduction_kernel
0.0,374686,2,187343.0,187343.0,9408,365278,251638.1,gen_sequenced
0.0,337598,2,168799.0,168799.0,167007,170591,2534.3,generate_seed_pseudo
0.0,29280,20,1464.0,1472.0,1440,1472,14.2,compute_clip_coef_kernel
